250최고,250최고가대비율,250최고가일,250최저,250최저가대비율,250최저가일,BPS,EPS,EV,PBR,PER,ROE,거래대비,거래량,결산월,고가,기준가,당기순이익,대비기호,대용가,등락율,매출액,상장주식,상한가,시가,시가총액,시가총액비중,신용비율,액면가,액면가단위,연중최고,연중최저,영업이익,예상체결가,예상체결수량,외인소진률,자본금,저가,전일대비,종목명,종목코드,하한가,현재가
+8760,-55.65,20170418,-1685,+130.56,20170926,729,0,,5.33,0.00,-18.2,-47.06,590387,12,+3995,3920,-29,5,2430,-0.89,369,21554,+5090,+3970,837,,+0.03,500,원,+4630,-3300,-46,-0,0,+1.00,108,-3860,-35,우리들휴브레인,118000,-2745,-3885
+5110,-31.60,20170414,-2700,+29.44,20170926,5360,35,65.57,0.65,99.86,0.7,+2556.68,8100825,12,+3765,3155,10,2,2140,+10.78,2755,30900,+4100,+3165,1080,,+3.19,500,원,+3765,-2825,-19,-0,0,+4.61,155,3155,+340,우성사료,006980,-2210,+3495
+3255,-17.36,20170919,-2340,+14.96,20171221,2355,159,16.62,1.14,16.92,-0.9,-36.35,240460,12,+2790,2720,-8,5,1900,-1.10,1099,42000,+3535,2720,1130,,+1.47,500,원,+2825,-2425,17,-0,0,+1.67,210,-2640,-30,유니온머티리얼,047400,-1905,-2690
+32000,-6.72,20171123,-29500,+1.19,20171227,37218,2084,2.20,0.80,14.32,8.2,-8.61,236,12,29850,29850,137,3,21490,0.00,5376,4375,+38800,-29800,1306,,+0.03,5000,원,+30450,-29500,149,-0,0,+1.06,219,-29700,0,인천도시가스,034590,-20900,29850
+2740,-5.11,20180419,-1105,+135.29,20180212,649,0,129.52,4.01,0.00,0.3,-27.10,7102694,12,+2635,2600,2,3,1920,0.00,527,77457,+3380,-2500,2014,,+4.54,500,원,+2740,-1105,10,-0,0,+0.43,387,-2325,0,일신석재,007110,-1820,2600
+8250,-20.12,20170614,-6500,+1.38,20180416,15168,1137,,0.43,5.80,6.8,+111.99,38597,12,+6610,6580,251,2,4730,+0.15,1765,22129,+8550,-6540,1458,,+0.34,5000,원,+7380,-6500,337,-0,0,+1.80,1106,-6530,+10,제주은행,006220,-4610,+6590
+88000,-11.36,20180302,-66200,+17.82,20170412,155889,10943,11.02,0.50,7.13,3.9,+115.35,12635,12,+79300,77300,699,2,58740,+0.91,18344,11579,+100000,+77900,9031,,+0.02,5000,원,+88000,-71200,1198,-0,0,+4.89,579,+77600,+700,지역난방공사,071320,-54200,+78000
+6380,-10.34,20170614,-5070,+12.82,20171213,7668,667,8.59,0.75,8.58,9.6,-70.80,24056,12,+5740,5630,95,2,3940,+1.60,1283,12448,+7310,5630,712,,+0.49,500,원,+6050,-5180,115,-0,0,+0.94,62,5630,+90,진도,088790,-3950,+5720
+3240,-29.48,20170726,-2110,+8.29,20180404,868,135,1.89,2.63,16.93,18.4,+132.67,261726,12,+2330,2245,146,2,1610,+1.78,2763,49190,+2915,+2255,1124,,+2.26,500,원,+3010,-2110,297,-0,0,+4.08,250,-2220,+40,참엔지니어링,009310,-1575,+2285
+4845,-39.11,20171127,-2750,+7.27,20180326,3569,0,,0.83,0.00,-22.0,+137.71,7830,12,+2955,2925,-57,2,1870,+0.85,474,8376,+3800,2925,247,,0.00,5000,원,+3490,-2750,-70,-0,0,+17.89,419,-2920,+25,청호컴넷,012600,-2050,+2950
+11300,-22.21,20180126,-5450,+61.28,20170710,6298,0,7.85,1.40,0.00,4.8,-93.26,521118,12,8900,8900,123,5,6580,-1.24,5413,40000,+11550,-8850,3516,,+3.05,500,원,+11300,-7400,242,-0,0,+3.36,200,-8720,-110,카프로,006380,-6230,-8790
+20500,-26.10,20180418,-319,+4649.22,20170517,2020,0,,7.50,0.00,-129.1,+138.66,5555606,12,+17350,14200,-182,2,0,+6.69,907,10576,+18450,-13550,1602,,+0.06,500,원,+20500,-2990,-166,-0,0,+1.31,53,-13100,+950,컨버즈,109070,-9950,+15150
+9070,-15.88,20180124,-5940,+28.45,20170413,4596,526,11.11,1.66,14.51,9.5,+104.43,52491,12,+7770,7750,175,5,5890,-1.55,2622,38000,+10050,7750,2899,,+0.77,1000,원,+9070,-7400,196,-0,0,+1.53,380,-7590,-120,코오롱플라스틱,138490,-5430,-7630
+173500,-33.43,20171128,-85800,+34.62,20180329,51791,8909,5.19,2.23,12.96,97.0,-59.08,30405,12,+124500,121500,4520,5,82620,-4.94,4502,5316,+157500,+123500,6140,,+0.50,500,원,+165000,-85800,647,-0,0,+10.71,27,-115000,-6000,쿠쿠홀딩스,192400,-85500,-115500
+3535,-14.14,20180201,-2110,+43.84,20171024,4390,0,16.20,0.69,0.00,-0.0,-63.13,78207,12,+3040,3030,-7,2,2120,+0.17,5657,70806,+3935,+3040,2149,,+0.68,500,원,+3535,-2475,33,-0,0,+1.28,354,-2985,+5,태림포장,011280,-2125,+3035
+16700,-8.08,20180411,-11500,+33.48,20170512,10850,800,9.75,1.41,19.19,5.0,+224.13,51665,12,+15950,15800,53,5,11690,-2.85,414,9703,+20500,-15500,1489,,+1.12,500,원,+16700,-11750,52,-0,0,+3.43,50,-15300,-450,텔코웨어,078000,-11100,-15350
+2750,-7.82,20180418,-1600,+58.44,20180109,1991,886,6.63,1.27,2.86,8.6,-33.41,81493,12,+2590,2545,31,5,1730,-0.39,3127,18000,+3305,-2510,456,,+1.41,500,원,+2750,-1600,97,-0,0,+1.66,90,-2480,-10,티에이치엔,019180,-1785,-2535
+45900,-22.00,20170427,-30600,+16.99,20180326,111725,10980,5.01,0.32,3.26,1.8,+152.59,2650607,12,+36050,34700,14414,2,27760,+3.17,598149,641964,+45100,+34800,229823,,+0.18,5000,원,+38050,-30600,49532,-0,0,+74.66,32098,+34800,+1100,한국전력,015760,-24300,+35800
+30450,-24.14,20170608,-22150,+4.29,20180326,99905,3658,7.14,0.23,6.31,2.0,-83.23,5594,12,+23600,23100,80,3,17090,0.00,6779,5005,+30000,23100,1156,,+0.35,5000,원,+25300,-22150,97,-0,0,+6.01,250,23100,0,한국제지,002300,-16200,23100
+125500,-33.23,20171124,-56200,+49.11,20170412,10186,129,284.22,8.23,649.61,4.6,-82.56,120320,12,+85400,83700,308,2,63610,+0.12,6523,63499,+108500,+84000,53212,,+0.42,500,원,+118500,-82200,140,-0,0,+4.48,317,-83000,+100,한미사이언스,008930,-58600,+83800
+14050,-30.04,20171130,-9070,+8.38,20180406,12061,396,8.63,0.82,24.82,4.8,+136.29,29578,12,9870,9870,75,5,7100,-0.41,3289,12909,+12800,9870,1269,,+0.85,500,원,+12950,-9070,95,-0,0,+2.38,65,-9690,-40,한세엠케이,069640,-6910,-9830
