250최고,250최고가대비율,250최고가일,250최저,250최저가대비율,250최저가일,BPS,EPS,EV,PBR,PER,ROE,거래대비,거래량,결산월,고가,기준가,당기순이익,대비기호,대용가,등락율,매출액,상장주식,상한가,시가,시가총액,시가총액비중,신용비율,액면가,액면가단위,연중최고,연중최저,영업이익,예상체결가,예상체결수량,외인소진률,자본금,저가,전일대비,종목명,종목코드,하한가,현재가
+5380,-20.35,20180108,-548,+681.93,20170818,1900,0,,2.26,0.00,-141.3,-27.81,1830046,12,+4285,4065,-379,2,2430,+5.41,268,36435,+5280,-3885,1561,,+0.67,500,원,+5380,-2320,-159,-0,0,0.00,182,-3885,+220,메타랩스,090370,-2850,+4285
+3760,-11.57,20180309,-2350,+41.49,20180116,9248,5,6.34,0.36,665.00,6.7,+150.29,234844,12,+3380,3325,409,3,2390,0.00,10346,41609,+4320,+3335,1384,,+1.36,2500,원,+3760,-2350,698,-0,0,+7.11,1040,-3290,0,무림페이퍼,009200,-2330,3325
+3615,-5.12,20180329,-2405,+42.62,20170814,2682,61,11.28,1.28,56.23,5.4,+111.33,167837,12,+3470,3455,68,5,2410,-0.72,1450,44918,+4490,+3470,1541,,+1.79,500,원,+3615,-2555,95,-0,0,+1.64,225,-3340,-25,백광산업,001340,-2420,-3430
+10200,-41.18,20170727,-5870,+2.21,20180417,5047,922,4.90,1.19,6.51,7.3,+323.72,125819,12,+6090,6070,87,5,4120,-1.15,2114,24200,+7890,+6090,1452,,+1.65,500,원,+7600,-5870,237,-0,0,+4.94,140,-5930,-70,백산,035150,-4250,-6000
+65000,0.00,20180430,-28850,+125.30,20171228,44757,5326,6.11,1.45,12.20,6.4,-28.66,58856,12,+65000,50000,48,1,35000,+30.00,1178,1056,+65000,+65000,686,,+1.27,5000,원,+65000,-29450,68,-0,0,+0.18,53,+65000,+15000,부산산업,011390,-35000,+65000
+32500,-10.46,20170816,-17050,+70.67,20170419,30659,1147,4.93,0.95,25.37,14.5,+166.78,16339,12,+29350,29200,423,5,19850,-0.34,9874,5961,+37950,29200,1735,,+0.80,5000,원,+32200,-23000,554,-0,0,+1.65,298,-28300,-100,사조대림,003960,-20450,-29100
+7560,-8.33,20170720,-5880,+17.86,20180116,10656,439,10.77,0.65,15.79,9.9,+200.09,44583,12,+7030,6980,194,5,5020,-0.72,3782,17219,+9070,+6990,1193,,+1.58,1000,원,+7060,-5880,158,-0,0,+1.85,172,-6850,-50,사조씨푸드,014710,-4890,-6930
+600000,-18.67,20180410,-173500,+181.27,20170428,61700,0,238.80,7.91,0.00,-2.4,+105.59,235446,12,+508000,506000,-970,5,384560,-3.56,4646,66165,+657000,-501000,322885,,+0.37,2500,원,+600000,-367000,660,-0,0,+9.90,1654,-485000,-18000,삼성바이오로직스,207940,-355000,-488000
+12400,-23.79,20170823,-8790,+7.51,20171019,8443,560,6.25,1.12,16.88,3.9,+491.91,20906,12,+9470,9210,59,2,6630,+2.61,1766,10000,+11950,+9240,945,,+2.68,500,원,+12400,-9110,110,-0,0,+0.96,50,-9150,+240,삼성출판사,068290,-6450,+9450
+26400,-24.24,20171129,-19650,+1.78,20171221,15343,1704,6.79,1.30,11.74,12.1,-83.62,16140,12,+20150,20000,279,3,14400,0.00,3334,14210,+26000,+20100,2842,,+0.10,5000,원,+24950,-19750,427,-0,0,+11.98,710,-19900,0,삼양패키징,272550,-14000,20000
+3850,-14.68,20170620,-3020,+8.77,20180116,4730,355,4.70,0.69,9.25,5.7,+127.02,25235,12,+3300,3255,110,2,2340,+0.92,2762,40000,+4230,+3260,1314,,+0.07,500,원,+3380,-3020,126,-0,0,+0.83,200,-3240,+30,삼원강재,023000,-2280,+3285
+16000,-48.38,20170531,-8040,+2.74,20180329,24729,3382,5.85,0.33,2.44,5.1,-72.84,35978,12,+8280,8200,304,2,5900,+0.73,20075,27028,+10650,8200,2233,,+1.17,500,원,+11150,-8040,-122,-0,0,+19.18,135,-8170,+60,서연이화,200880,-5740,+8260
+5370,-17.50,20170609,-4125,+7.39,20180326,8832,717,3.19,0.50,6.18,7.7,+123.30,22256,12,+4460,4440,289,5,3280,-0.23,1784,41041,+5770,4440,1818,,+0.51,1000,원,+4980,-4125,362,-0,0,+4.31,410,-4385,-10,세이브존I&C,067830,-3110,-4430
+32000,-9.53,20180419,-17150,+68.80,20170922,14851,1802,10.68,1.95,16.07,9.6,+146.96,450931,12,+29350,27200,347,2,20670,+6.43,7249,24000,+35350,+27500,6948,,+2.61,500,원,+32000,-22600,545,-0,0,+21.83,120,+27500,+1750,송원산업,004430,-19050,+28950
+2250,-8.44,20180424,-1355,+52.03,20171221,1691,52,16.11,1.22,39.62,3.2,+291.84,10544373,12,+2130,1850,29,2,1330,+11.35,1019,53985,+2405,+1910,1112,,+6.04,500,원,+2250,-1355,33,-0,0,+1.33,270,+1895,+210,수산중공업,017550,-1295,+2060
+97500,-6.36,20180430,-25900,+252.51,20170419,65091,4028,11.42,1.40,22.67,10.4,-60.58,71372,12,+97500,94300,272,5,69780,-3.18,5128,4030,+122500,+94900,3679,,+4.86,5000,원,+97500,-32550,288,-0,0,+5.61,201,-86000,-3000,신대양제지,016590,-66100,-91300
+2445,-34.15,20170725,-1555,+3.54,20180410,707,33,25.94,2.28,48.79,-38.3,+170.88,956574,12,+1620,1615,-392,5,1130,-0.31,9905,172994,+2095,+1620,2785,,+0.61,500,원,+2365,-1555,-57,-0,0,+1.12,866,-1600,-5,신성이엔지,011930,-1135,-1610
+195000,-15.64,20180322,-70500,+133.33,20171026,96264,1481,7.18,1.71,111.07,6.0,+219.74,20906,12,+169000,166500,99,5,123210,-1.20,3202,1720,+216000,+169000,2829,,+4.06,5000,원,+195000,-78000,155,-0,0,+12.73,86,-159500,-2000,신세계 I&C,035510,-117000,-164500
+3780,-6.75,20180423,-1590,+121.70,20170926,2852,0,40.26,1.24,0.00,-5.4,+234.62,23672731,12,+3770,3175,-98,2,2280,+11.02,6399,72738,+4125,+3300,2564,,+7.38,500,원,+3780,-2000,8,-0,0,+2.02,364,+3215,+350,신원,009270,-2225,+3525
+12200,-55.08,20170519,-4550,+20.44,20180417,9080,0,7.87,0.60,0.00,-7.2,+329.52,145268,12,+5500,5160,-42,2,3400,+6.20,467,7023,+6700,+5260,385,,+0.03,5000,원,+5910,-4550,81,-0,0,+2.86,351,+5200,+320,신한,005450,-3620,+5480
+62100,-33.66,20180201,-30450,+35.30,20170523,50578,2936,,0.81,14.03,8.7,+119.76,211989,12,+41250,39950,3402,2,30360,+3.13,31575,82000,+51900,-39700,33784,,+0.07,1000,원,+62100,-36300,4503,-0,0,+37.97,820,-39700,+1250,아이엔지생명,079440,-28000,+41200
+47850,-5.54,20180417,-27600,+63.77,20180322,4072,1011,20.98,11.10,44.71,37.2,+207.55,316680,12,+45200,44900,381,2,31430,+0.67,6289,26218,+58300,-44800,11851,,+0.23,1000,원,+47850,-27600,497,-0,0,+2.49,262,-43700,+300,애경산업,018250,-31450,+45200
+13700,-37.37,20170613,-7780,+10.28,20180326,598,24,163.55,14.35,357.50,1.7,+125.98,1839980,12,+8880,8830,19,5,6530,-2.83,1950,182893,+11450,+8850,15692,,+3.55,500,원,+11300,-7780,30,-0,0,+2.18,914,-8550,-250,영진약품,003520,-6190,-8580
+1540,-29.87,20170426,-999,+8.11,20180326,436,0,,2.48,0.00,-26.0,+129.27,1954539,3,+1125,1120,-248,5,820,-3.57,1090,163147,+1455,-1115,1762,,+0.46,500,원,+1310,-999,-93,-0,0,+1.43,816,-1070,-40,오리엔트바이오,002630,-785,-1080
+14400,-39.10,20170608,-7040,+24.57,20180326,8236,324,11.00,1.06,27.07,4.2,+713.75,3122714,12,+9100,8100,170,2,5830,+8.27,2097,48133,+10500,+8250,4221,,+5.45,5000,원,+12550,-7040,335,-0,0,+2.97,2407,8100,+670,용평리조트,070960,-5670,+8770
+19650,-18.32,20170727,-13550,+18.45,20180403,30157,1567,,0.53,10.24,7.4,-71.75,1242179,12,+16300,16000,15301,2,12160,+0.31,85507,676000,+20800,+16100,108498,,+0.16,5000,원,+17200,-13550,21567,-0,0,+26.24,33814,+16050,+50,우리은행,000030,-11200,+16050
+4750,-35.37,20171123,-1950,+57.44,20170525,2207,0,,1.39,0.00,-29.6,+212.36,274087,12,-3120,3125,-87,5,2120,-1.76,708,15250,+4060,-3100,468,,+3.82,500,원,+4360,-2660,-51,-0,0,+1.85,76,-2905,-55,웰바이오텍,010600,-2190,-3070
+2960,-35.98,20170510,-1500,+26.33,20170926,2482,77,9.64,0.76,24.61,0.4,+160.18,1064570,12,+1905,1900,7,5,1330,-0.26,2910,57000,+2470,+1905,1080,,+6.99,1000,원,+2090,-1585,70,-0,0,+6.48,626,-1830,-5,윌비스,008600,-1330,-1895
+39000,-27.31,20180126,-18350,+54.50,20170529,10945,1277,11.29,2.59,22.20,14.7,+438.47,111319,12,+29000,27950,279,2,19560,+1.43,1970,16207,+36300,+29000,4595,,+1.26,500,원,+39000,-26200,317,-0,0,+23.07,81,+28000,+400,유나이티드제약,033270,-19600,+28350
+5820,-9.11,20180425,-3680,+43.75,20170925,8007,9,12.37,0.66,587.78,3.7,+241.46,981443,12,+5480,4845,19,2,3480,+9.18,1811,15612,+6290,+4985,826,,+3.33,500,원,+5820,-3825,5,-0,0,+2.70,78,+4980,+445,유니온,000910,-3395,+5290
